ashford,EXPLORER,OUTLAW,2201,MAGICIAN,1986,HERO,2970,LOVER,1799,JESTER,1406,EVERYMAN,1894,CAREGIVER,1505,RULER,1629,CREATOR,3693,INNOCENT,3514,SAGE,3767,EXPLORER,6678,
asnuntuck,CAREGIVER,OUTLAW,2514,MAGICIAN,2220,HERO,2237,LOVER,1349,JESTER,2396,EVERYMAN,2443,CAREGIVER,2690,RULER,1006,CREATOR,1785,INNOCENT,1857,SAGE,1600,EXPLORER,1414,
assumption,JESTER,OUTLAW,821,MAGICIAN,795,HERO,792,LOVER,1280,JESTER,3357,EVERYMAN,951,CAREGIVER,1761,RULER,383,CREATOR,810,INNOCENT,1280,SAGE,897,EXPLORER,814,
asu,RULER,OUTLAW,805,MAGICIAN,839,HERO,1445,LOVER,761,JESTER,1009,EVERYMAN,680,CAREGIVER,975,RULER,1485,CREATOR,1035,INNOCENT,678,SAGE,864,EXPLORER,1021,
athens,INNOCENT,OUTLAW,800,MAGICIAN,1088,HERO,733,LOVER,415,JESTER,838,EVERYMAN,788,CAREGIVER,1133,RULER,1006,CREATOR,611,INNOCENT,1180,SAGE,269,EXPLORER,546,
atlantatech,INNOCENT,OUTLAW,1159,MAGICIAN,956,HERO,812,LOVER,1107,JESTER,617,EVERYMAN,1121,CAREGIVER,874,RULER,527,CREATOR,916,INNOCENT,1180,SAGE,533,EXPLORER,797,
atlantic,EVERYMAN,OUTLAW,985,MAGICIAN,1508,HERO,911,LOVER,1003,JESTER,1191,EVERYMAN,1971,CAREGIVER,877,RULER,1102,CREATOR,755,INNOCENT,803,SAGE,798,EXPLORER,748,
atom,OUTLAW,OUTLAW,1036,MAGICIAN,664,HERO,634,LOVER,692,JESTER,368,EVERYMAN,1005,CAREGIVER,636,RULER,766,CREATOR,776,INNOCENT,753,SAGE,316,EXPLORER,803,
atsu,SAGE,OUTLAW,887,MAGICIAN,1347,HERO,1109,LOVER,1142,JESTER,1034,EVERYMAN,1221,CAREGIVER,1392,RULER,1198,CREATOR,1022,INNOCENT,1782,SAGE,1869,EXPLORER,1381,
atu,OUTLAW,OUTLAW,3632,MAGICIAN,1757,HERO,1782,LOVER,1557,JESTER,1107,EVERYMAN,2172,CAREGIVER,2069,RULER,2060,CREATOR,2951,INNOCENT,1330,SAGE,963,EXPLORER,2446,
auburn,RULER,OUTLAW,410,MAGICIAN,356,HERO,911,LOVER,277,JESTER,176,EVERYMAN,386,CAREGIVER,256,RULER,1006,CREATOR,619,INNOCENT,301,SAGE,769,EXPLORER,573,
augsburg,EVERYMAN,OUTLAW,580,MAGICIAN,561,HERO,475,LOVER,381,JESTER,446,EVERYMAN,812,CAREGIVER,544,RULER,575,CREATOR,538,INNOCENT,452,SAGE,623,EXPLORER,541,
augustana,RULER,OUTLAW,241,MAGICIAN,361,HERO,158,LOVER,588,JESTER,363,EVERYMAN,348,CAREGIVER,366,RULER,958,CREATOR,356,INNOCENT,452,SAGE,543,EXPLORER,371,
aultmancollege,JESTER,OUTLAW,990,MAGICIAN,630,HERO,733,LOVER,727,JESTER,1127,EVERYMAN,750,CAREGIVER,951,RULER,718,CREATOR,971,INNOCENT,979,SAGE,689,EXPLORER,835,
aum,LOVER,OUTLAW,836,MAGICIAN,776,HERO,891,LOVER,1176,JESTER,568,EVERYMAN,835,CAREGIVER,764,RULER,1054,CREATOR,950,INNOCENT,728,SAGE,1001,EXPLORER,917,
aurora,LOVER,OUTLAW,1400,MAGICIAN,1303,HERO,1267,LOVER,2387,JESTER,911,EVERYMAN,1330,CAREGIVER,887,RULER,718,CREATOR,1336,INNOCENT,2033,SAGE,1274,EXPLORER,1228,
austincc,CAREGIVER,OUTLAW,369,MAGICIAN,1093,HERO,535,LOVER,415,JESTER,921,EVERYMAN,518,CAREGIVER,1127,RULER,671,CREATOR,356,INNOCENT,502,SAGE,595,EXPLORER,360,
austincollege,LOVER,OUTLAW,1175,MAGICIAN,1454,HERO,1406,LOVER,2630,JESTER,1171,EVERYMAN,1832,CAREGIVER,1090,RULER,1150,CREATOR,1141,INNOCENT,2159,SAGE,1265,EXPLORER,999,
azwestern,CAREGIVER,OUTLAW,451,MAGICIAN,522,HERO,634,LOVER,346,JESTER,348,EVERYMAN,587,CAREGIVER,975,RULER,718,CREATOR,568,INNOCENT,301,SAGE,571,EXPLORER,410,
babson,EVERYMAN,OUTLAW,1693,MAGICIAN,1962,HERO,1604,LOVER,1661,JESTER,882,EVERYMAN,2002,CAREGIVER,1265,RULER,862,CREATOR,1810,INNOCENT,1280,SAGE,1458,EXPLORER,1955,
bakersfieldcollege,RULER,OUTLAW,1082,MAGICIAN,747,HERO,752,LOVER,1073,JESTER,426,EVERYMAN,912,CAREGIVER,903,RULER,1629,CREATOR,1124,INNOCENT,1180,SAGE,1298,EXPLORER,917,
bard,LOVER,OUTLAW,385,MAGICIAN,307,HERO,277,LOVER,1038,JESTER,323,EVERYMAN,294,CAREGIVER,321,RULER,766,CREATOR,589,INNOCENT,376,SAGE,576,EXPLORER,628,
barnard,JESTER,OUTLAW,2170,MAGICIAN,1845,HERO,1683,LOVER,2941,JESTER,7487,EVERYMAN,2048,CAREGIVER,4043,RULER,2682,CREATOR,2116,INNOCENT,2234,SAGE,2148,EXPLORER,2222,
barry,HERO,OUTLAW,954,MAGICIAN,634,HERO,1426,LOVER,519,JESTER,377,EVERYMAN,611,CAREGIVER,500,RULER,1102,CREATOR,844,INNOCENT,653,SAGE,703,EXPLORER,819,
barstow,RULER,OUTLAW,236,MAGICIAN,181,HERO,455,LOVER,69,JESTER,64,EVERYMAN,201,CAREGIVER,167,RULER,718,CREATOR,187,INNOCENT,201,SAGE,274,EXPLORER,197,
bates,OUTLAW,OUTLAW,1257,MAGICIAN,898,HERO,653,LOVER,484,JESTER,323,EVERYMAN,928,CAREGIVER,622,RULER,335,CREATOR,924,INNOCENT,1004,SAGE,463,EXPLORER,874,
baycollege,LOVER,OUTLAW,1093,MAGICIAN,2220,HERO,673,LOVER,4567,JESTER,1980,EVERYMAN,3216,CAREGIVER,1375,RULER,2156,CREATOR,1594,INNOCENT,3313,SAGE,1638,EXPLORER,1294,
